propnum,day,oil,gas,water
f899139df5e1059396431415e770c6dd,2017-08-08,0,13989.042,0
f899139df5e1059396431415e770c6dd,2017-08-09,0,13897.290275052937,0
f899139df5e1059396431415e770c6dd,2017-08-10,0,13826.39302283688,0
f899139df5e1059396431415e770c6dd,2017-08-11,0,13762.071731308493,0
f899139df5e1059396431415e770c6dd,2017-08-12,0,13701.845051991455,0
f899139df5e1059396431415e770c6dd,2017-08-13,0,13644.597045758943,0
f899139df5e1059396431415e770c6dd,2017-08-14,0,13589.692527525007,0
f899139df5e1059396431415e770c6dd,2017-08-15,0,13536.721803913515,0
f899139df5e1059396431415e770c6dd,2017-08-16,0,13485.398891918983,0
f899139df5e1059396431415e770c6dd,2017-08-17,0,13435.512908535859,0
f899139df5e1059396431415e770c6dd,2017-08-18,0,13386.901936017073,0
f899139df5e1059396431415e770c6dd,2017-08-19,0,13339.43773039242,0
f899139df5e1059396431415e770c6dd,2017-08-20,0,13293.01618490201,0
f899139df5e1059396431415e770c6dd,2017-08-21,0,13247.551077606686,0
f899139df5e1059396431415e770c6dd,2017-08-22,0,13202.969803602833,0
f899139df5e1059396431415e770c6dd,2017-08-23,0,13159.21036350226,0
f899139df5e1059396431415e770c6dd,2017-08-24,0,13116.219178313393,0
f899139df5e1059396431415e770c6dd,2017-08-25,0,13073.949465860172,0
f899139df5e1059396431415e770c6dd,2017-08-26,0,13032.360009487247,0
f899139df5e1059396431415e770c6dd,2017-08-27,0,12991.414207464199,0
f899139df5e1059396431415e770c6dd,2017-08-28,0,12951.07932749716,0
f899139df5e1059396431415e770c6dd,2017-08-29,0,12911.325913908344,0
f899139df5e1059396431415e770c6dd,2017-08-30,0,12872.127310332708,0
f899139df5e1059396431415e770c6dd,2017-08-31,0,12833.459271115134,0
f899139df5e1059396431415e770c6dd,2017-09-01,0,12795.299641723295,0
f899139df5e1059396431415e770c6dd,2017-09-02,0,12757.628093506532,0
f899139df5e1059396431415e770c6dd,2017-09-03,0,12720.425901717254,0
f899139df5e1059396431415e770c6dd,2017-09-04,0,12683.675758315805,0
f899139df5e1059396431415e770c6dd,2017-09-05,0,12647.361612997543,0
f899139df5e1059396431415e770c6dd,2017-09-06,0,12611.468537311426,0
f899139df5e1059396431415e770c6dd,2017-09-07,0,12575.982607818998,0
f899139df5e1059396431415e770c6dd,2017-09-08,0,12540.890805066523,0
f899139df5e1059396431415e770c6dd,2017-09-09,0,12506.18092577768,0
f899139df5e1059396431415e770c6dd,2017-09-10,0,12471.841506168304,0
f899139df5e1059396431415e770c6dd,2017-09-11,0,12437.861754671976,0
f899139df5e1059396431415e770c6dd,2017-09-12,0,12404.231492671965,0
f899139df5e1059396431415e770c6dd,2017-09-13,0,12370.941102079369,0
f899139df5e1059396431415e770c6dd,2017-09-14,0,12337.981478793401,0
f899139df5e1059396431415e770c6dd,2017-09-15,0,12305.343991238384,0
f899139df5e1059396431415e770c6dd,2017-09-16,0,12273.020443300955,0
f899139df5e1059396431415e770c6dd,2017-09-17,0,12241.00304109641,0
f899139df5e1059396431415e770c6dd,2017-09-18,0,12209.284363079934,0
f899139df5e1059396431415e770c6dd,2017-09-19,0,12177.857333090264,0
f899139df5e1059396431415e770c6dd,2017-09-20,0,12146.715195972905,0
f899139df5e1059396431415e770c6dd,2017-09-21,0,12115.851495479958,0
f899139df5e1059396431415e770c6dd,2017-09-22,0,12085.26005418532,0
f899139df5e1059396431415e770c6dd,2017-09-23,0,12054.934955189316,0
f899139df5e1059396431415e770c6dd,2017-09-24,0,12024.870525416547,0
f899139df5e1059396431415e770c6dd,2017-09-25,0,11995.061320336155,0
f899139df5e1059396431415e770c6dd,2017-09-26,0,11965.502109955149,0
f899139df5e1059396431415e770c6dd,2017-09-27,0,11936.187865954036,0
f899139df5e1059396431415e770c6dd,2017-09-28,0,11907.11374984975,0
f899139df5e1059396431415e770c6dd,2017-09-29,0,11878.275102084552,0
f899139df5e1059396431415e770c6dd,2017-09-30,0,11849.667431951419,0
f899139df5e1059396431415e770c6dd,2017-10-01,0,11821.28640827657,0
f899139df5e1059396431415e770c6dd,2017-10-02,0,11793.127850788755,0
f899139df5e1059396431415e770c6dd,2017-10-03,0,11765.187722112592,0
f899139df5e1059396431415e770c6dd,2017-10-04,0,11737.462120330078,0
f899139df5e1059396431415e770c6dd,2017-10-05,0,11709.94727206027,0
f899139df5e1059396431415e770c6dd,2017-10-06,0,11682.63952601237,0
f899139df5e1059396431415e770c6dd,2017-10-07,0,11655.535346972005,0
f899139df5e1059396431415e770c6dd,2017-10-08,0,11628.631310184583,0
f899139df5e1059396431415e770c6dd,2017-10-09,0,11601.924096103126,0
f899139df5e1059396431415e770c6dd,2017-10-10,0,11575.410485471197,0
f899139df5e1059396431415e770c6dd,2017-10-11,0,11549.087354714306,0
f899139df5e1059396431415e770c6dd,2017-10-12,0,11522.951671615738,0
f899139df5e1059396431415e770c6dd,2017-10-13,0,11497.00049125494,0
f899139df5e1059396431415e770c6dd,2017-10-14,0,11471.230952188615,0
f899139df5e1059396431415e770c6dd,2017-10-15,0,11445.640272856434,0
f899139df5e1059396431415e770c6dd,2017-10-16,0,11420.225748194925,0
f899139df5e1059396431415e770c6dd,2017-10-17,0,11394.984746444483,0
f899139df5e1059396431415e770c6dd,2017-10-18,0,11369.914706135747,0
f899139df5e1059396431415e770c6dd,2017-10-19,0,11345.013133242799,0
f899139df5e1059396431415e770c6dd,2017-10-20,0,11320.277598491635,0
f899139df5e1059396431415e770c6dd,2017-10-21,0,11295.705734813318,0
f899139df5e1059396431415e770c6dd,2017-10-22,0,11271.295234932111,0
f899139df5e1059396431415e770c6dd,2017-10-23,0,11247.043849079655,0
f899139df5e1059396431415e770c6dd,2017-10-24,0,11222.94938282692,0
f899139df5e1059396431415e770c6dd,2017-10-25,0,11199.009695026372,0
f899139df5e1059396431415e770c6dd,2017-10-26,0,11175.22269585734,0
